timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583589857846,141,Home Page,200,OK,Scenario 1 1-4,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,133,0,68
1583589857906,81,Home Page,200,OK,Scenario 1 1-9,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,73,0,8
1583589857845,142,Home Page,200,OK,Scenario 1 1-7,text,true,,2636,326,11,11,http://localhost/cookieweb/default.asp,134,0,68
1583589857844,141,Home Page,200,OK,Scenario 1 1-1,text,true,,2639,326,11,11,http://localhost/cookieweb/default.asp,134,0,68
1583589857844,142,Home Page,200,OK,Scenario 1 1-2,text,true,,2636,326,11,11,http://localhost/cookieweb/default.asp,137,0,69
1583589857845,142,Home Page,200,OK,Scenario 1 1-6,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,134,0,68
1583589857881,105,Home Page,200,OK,Scenario 1 1-8,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,98,0,33
1583589857943,44,Home Page,200,OK,Scenario 1 1-10,text,true,,2636,326,11,11,http://localhost/cookieweb/default.asp,40,0,2
1583589857845,142,Home Page,200,OK,Scenario 1 1-5,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,134,0,69
1583589857845,141,Home Page,200,OK,Scenario 1 1-3,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,133,0,68
1583589857970,30,Home Page,200,OK,Scenario 1 1-11,text,true,,2637,326,11,11,http://localhost/cookieweb/default.asp,30,0,3
1583589858004,17,Home Page,200,OK,Scenario 1 1-12,text,true,,2640,326,12,12,http://localhost/cookieweb/default.asp,17,0,1
1583589858037,19,Home Page,200,OK,Scenario 1 1-13,text,true,,2638,326,13,13,http://localhost/cookieweb/default.asp,19,0,2
1583589858070,16,Home Page,200,OK,Scenario 1 1-14,text,true,,2639,326,14,14,http://localhost/cookieweb/default.asp,16,0,1
